#name (cmd = mergePeaks -d given wtInsv__insvInsv wtElba3__elba3Elba3 wtElba2__elba2Elba2 wtElba1__elba1Elba1 Insv_ChIPnexus_narrowPeak_q10.bed Elba3_ChIPnexus_narrowPeak_q10.bed Elba2_ChIPnexus_narrowPeak_q5.bed Elba1_ChIPnexus_narrowPeak_q10.bed -venn merge2chip_q10_given_venn.txt)	chr	start	end	strand	Stat	Parent files	Total subpeaks	wtInsv__insvInsv	wtElba3__elba3Elba3	wtElba2__elba2Elba2	wtElba1__elba1Elba1	Insv_ChIPnexus_narrowPeak_q10.bed	Elba3_ChIPnexus_narrowPeak_q10.bed	Elba2_ChIPnexus_narrowPeak_q5.bed	Elba1_ChIPnexus_narrowPeak_q10.bed
Merged-chrX-3775093-4	chrX	3774644	3775346	+	0.000000	wtElba3__elba3Elba3|Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed	4		diff__wtElba3_q20__elba3Elba3_q20_peak_6307a,diff__wtElba3_q20__elba3Elba3_q20_peak_6307b			Insv_ChIPnexus_peak_12838	Elba3_ChIPnexus_peak_12693c		
Merged-chr2L-851022-3	chr2L	850628	851229	+	0.000000	wtElba3__elba3Elba3|Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed	3		diff__wtElba3_q20__elba3Elba3_q20_peak_72			Insv_ChIPnexus_peak_139b	Elba3_ChIPnexus_peak_135		
Merged-chr2L-1164452-3	chr2L	1164308	1164656	+	0.000000	wtElba3__elba3Elba3|Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed	3		diff__wtElba3_q20__elba3Elba3_q20_peak_89			Insv_ChIPnexus_peak_167	Elba3_ChIPnexus_peak_167		
Merged-chr3L-13435730-3	chr3L	13435539	13436084	+	0.000000	wtElba3__elba3Elba3|Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed	3		diff__wtElba3_q20__elba3Elba3_q20_peak_3599			Insv_ChIPnexus_peak_7164	Elba3_ChIPnexus_peak_7080		
Merged-chr3L-14267321-3	chr3L	14267024	14267667	+	0.000000	wtElba3__elba3Elba3|Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed	3		diff__wtElba3_q20__elba3Elba3_q20_peak_3649			Insv_ChIPnexus_peak_7264a	Elba3_ChIPnexus_peak_7173c		
Merged-chr3R-19505820-4	chr3R	19505623	19506191	+	0.000000	wtElba3__elba3Elba3|Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed	4		diff__wtElba3_q20__elba3Elba3_q20_peak_5520a,diff__wtElba3_q20__elba3Elba3_q20_peak_5520b			Insv_ChIPnexus_peak_11128	Elba3_ChIPnexus_peak_10972		
Merged-chrX-201984-3	chrX	201834	202171	+	0.000000	wtElba3__elba3Elba3|Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed	3		diff__wtElba3_q20__elba3Elba3_q20_peak_6115			Insv_ChIPnexus_peak_12418	Elba3_ChIPnexus_peak_12313b		
Merged-chrX-2363992-4	chrX	2363585	2364267	+	0.000000	wtElba3__elba3Elba3|Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed	4		diff__wtElba3_q20__elba3Elba3_q20_peak_6250			Insv_ChIPnexus_peak_12702b	Elba3_ChIPnexus_peak_12580a,Elba3_ChIPnexus_peak_12580b		
Merged-chr3L-17638114-3	chr3L	17637889	17638341	+	0.000000	wtElba3__elba3Elba3|Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed	3		diff__wtElba3_q20__elba3Elba3_q20_peak_3902			Insv_ChIPnexus_peak_7765b	Elba3_ChIPnexus_peak_7654		
Merged-chr2R-14334062-3	chr2R	14333959	14334255	+	0.000000	wtElba3__elba3Elba3|Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed	3		diff__wtElba3_q20__elba3Elba3_q20_peak_2332			Insv_ChIPnexus_peak_4597	Elba3_ChIPnexus_peak_4568		
Merged-chr3L-18619085-3	chr3L	18618919	18619280	+	0.000000	wtElba3__elba3Elba3|Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed	3		diff__wtElba3_q20__elba3Elba3_q20_peak_3947			Insv_ChIPnexus_peak_7874b	Elba3_ChIPnexus_peak_7740		
Merged-chr3L-19545436-3	chr3L	19545083	19545772	+	0.000000	wtElba3__elba3Elba3|Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed	3		diff__wtElba3_q20__elba3Elba3_q20_peak_3992			Insv_ChIPnexus_peak_7980b	Elba3_ChIPnexus_peak_7837b		
Merged-chr2R-12889463-3	chr2R	12889049	12889882	+	0.000000	wtElba3__elba3Elba3|Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed	3		diff__wtElba3_q20__elba3Elba3_q20_peak_2208b			Insv_ChIPnexus_peak_4394	Elba3_ChIPnexus_peak_4372		
Merged-chr2L-2879119-3	chr2L	2878895	2879361	+	0.000000	wtElba3__elba3Elba3|Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed	3		diff__wtElba3_q20__elba3Elba3_q20_peak_164			Insv_ChIPnexus_peak_320	Elba3_ChIPnexus_peak_332		
Merged-chr2L-3030536-3	chr2L	3030356	3030808	+	0.000000	wtElba3__elba3Elba3|Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed	3		diff__wtElba3_q20__elba3Elba3_q20_peak_177			Insv_ChIPnexus_peak_354	Elba3_ChIPnexus_peak_366		
Merged-chr3R-7257453-4	chr3R	7257013	7257938	+	0.000000	wtElba3__elba3Elba3|Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed	4		diff__wtElba3_q20__elba3Elba3_q20_peak_4779a,diff__wtElba3_q20__elba3Elba3_q20_peak_4779b			Insv_ChIPnexus_peak_9614	Elba3_ChIPnexus_peak_9518		
Merged-chr2L-4463570-4	chr2L	4463343	4464007	+	0.000000	wtElba3__elba3Elba3|Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed	4		diff__wtElba3_q20__elba3Elba3_q20_peak_258			Insv_ChIPnexus_peak_516a,Insv_ChIPnexus_peak_516b	Elba3_ChIPnexus_peak_511a		
Merged-chr3R-11629993-3	chr3R	11629818	11630229	+	0.000000	wtElba3__elba3Elba3|Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed	3		diff__wtElba3_q20__elba3Elba3_q20_peak_5035			Insv_ChIPnexus_peak_10125b	Elba3_ChIPnexus_peak_10042		
Merged-chr2L-16532916-4	chr2L	16532732	16533128	+	0.000000	wtElba3__elba3Elba3|Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed	4		diff__wtElba3_q20__elba3Elba3_q20_peak_1010			Insv_ChIPnexus_peak_2040b	Elba3_ChIPnexus_peak_1998a,Elba3_ChIPnexus_peak_1998b		
Merged-chr2L-17477852-3	chr2L	17477470	17478098	+	0.000000	wtElba3__elba3Elba3|Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed	3		diff__wtElba3_q20__elba3Elba3_q20_peak_1046			Insv_ChIPnexus_peak_2141	Elba3_ChIPnexus_peak_2083		
Merged-chr2L-6424340-4	chr2L	6424213	6424571	+	0.000000	wtElba3__elba3Elba3|Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed	4		diff__wtElba3_q20__elba3Elba3_q20_peak_381			Insv_ChIPnexus_peak_758a,Insv_ChIPnexus_peak_758b	Elba3_ChIPnexus_peak_741b		
Merged-chr2L-6455252-3	chr2L	6455049	6455541	+	0.000000	wtElba3__elba3Elba3|Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed	3		diff__wtElba3_q20__elba3Elba3_q20_peak_382			Insv_ChIPnexus_peak_760a	Elba3_ChIPnexus_peak_744b		
Merged-chr2L-6498693-3	chr2L	6498474	6498996	+	0.000000	wtElba3__elba3Elba3|Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed	3		diff__wtElba3_q20__elba3Elba3_q20_peak_392			Insv_ChIPnexus_peak_771a	Elba3_ChIPnexus_peak_757		
Merged-chr3R-13528152-3	chr3R	13527853	13528307	+	0.000000	wtElba3__elba3Elba3|Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed	3		diff__wtElba3_q20__elba3Elba3_q20_peak_5164			Insv_ChIPnexus_peak_10410	Elba3_ChIPnexus_peak_10316		
Merged-chr2L-19363800-3	chr2L	19363683	19363916	+	0.000000	wtElba3__elba3Elba3|Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed	3		diff__wtElba3_q20__elba3Elba3_q20_peak_1143			Insv_ChIPnexus_peak_2342b	Elba3_ChIPnexus_peak_2294		
Merged-chr3R-14127436-3	chr3R	14127178	14127581	+	0.000000	wtElba3__elba3Elba3|Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed	3		diff__wtElba3_q20__elba3Elba3_q20_peak_5210			Insv_ChIPnexus_peak_10504	Elba3_ChIPnexus_peak_10404		
Merged-chr2L-8488875-3	chr2L	8488740	8489055	+	0.000000	wtElba3__elba3Elba3|Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed	3		diff__wtElba3_q20__elba3Elba3_q20_peak_554			Insv_ChIPnexus_peak_1082	Elba3_ChIPnexus_peak_1069		
Merged-chr2R-1903146-3	chr2R	1902964	1903276	+	0.000000	wtElba3__elba3Elba3|Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed	3		diff__wtElba3_q20__elba3Elba3_q20_peak_1371			Insv_ChIPnexus_peak_2846	Elba3_ChIPnexus_peak_2851		
Merged-chr2R-3269452-3	chr2R	3269213	3269631	+	0.000000	wtElba3__elba3Elba3|Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed	3		diff__wtElba3_q20__elba3Elba3_q20_peak_1439			Insv_ChIPnexus_peak_3027a	Elba3_ChIPnexus_peak_3027b		
Merged-chr2R-3418447-3	chr2R	3418194	3418812	+	0.000000	wtElba3__elba3Elba3|Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed	3		diff__wtElba3_q20__elba3Elba3_q20_peak_1466			Insv_ChIPnexus_peak_3064	Elba3_ChIPnexus_peak_3063c		
Merged-chr3R-19578580-3	chr3R	19578331	19578860	+	0.000000	wtElba3__elba3Elba3|Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed	3		diff__wtElba3_q20__elba3Elba3_q20_peak_5523			Insv_ChIPnexus_peak_11139a	Elba3_ChIPnexus_peak_10983b		
Merged-chr3R-2470728-5	chr3R	2470565	2470855	+	0.000000	wtElba3__elba3Elba3|Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed|Elba1_ChIPnexus_narrowPeak_q10.bed	5		diff__wtElba3_q20__elba3Elba3_q20_peak_4445			Insv_ChIPnexus_peak_8958a,Insv_ChIPnexus_peak_8958b	Elba3_ChIPnexus_peak_8863		Elba1_ChIPnexus_peak_5788
Merged-chr3R-9843559-4	chr3R	9843325	9843795	+	0.000000	wtElba3__elba3Elba3|Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed|Elba1_ChIPnexus_narrowPeak_q10.bed	4		diff__wtElba3_q20__elba3Elba3_q20_peak_4915			Insv_ChIPnexus_peak_9904	Elba3_ChIPnexus_peak_9824		Elba1_ChIPnexus_peak_6370
Merged-chr3L-10872128-4	chr3L	10871964	10872230	+	0.000000	wtElba3__elba3Elba3|Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed|Elba1_ChIPnexus_narrowPeak_q10.bed	4		diff__wtElba3_q20__elba3Elba3_q20_peak_3438			Insv_ChIPnexus_peak_6819	Elba3_ChIPnexus_peak_6752		Elba1_ChIPnexus_peak_4343
Merged-chr3L-16445182-4	chr3L	16444895	16445334	+	0.000000	wtElba3__elba3Elba3|Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed|Elba1_ChIPnexus_narrowPeak_q10.bed	4		diff__wtElba3_q20__elba3Elba3_q20_peak_3821			Insv_ChIPnexus_peak_7610a	Elba3_ChIPnexus_peak_7511		Elba1_ChIPnexus_peak_4840
Merged-chr3L-16688497-4	chr3L	16688388	16688661	+	0.000000	wtElba3__elba3Elba3|Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed|Elba1_ChIPnexus_narrowPeak_q10.bed	4		diff__wtElba3_q20__elba3Elba3_q20_peak_3845			Insv_ChIPnexus_peak_7650	Elba3_ChIPnexus_peak_7547		Elba1_ChIPnexus_peak_4860
Merged-chr2R-18736457-4	chr2R	18736250	18736617	+	0.000000	wtElba3__elba3Elba3|Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed|Elba1_ChIPnexus_narrowPeak_q10.bed	4		diff__wtElba3_q20__elba3Elba3_q20_peak_2588			Insv_ChIPnexus_peak_5114	Elba3_ChIPnexus_peak_5111		Elba1_ChIPnexus_peak_3308
Merged-chr3L-16624956-4	chr3L	16624711	16625352	+	0.000000	wtElba3__elba3Elba3|Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed|Elba1_ChIPnexus_narrowPeak_q10.bed	4		diff__wtElba3_q20__elba3Elba3_q20_peak_3835a			Insv_ChIPnexus_peak_7640	Elba3_ChIPnexus_peak_7537		Elba1_ChIPnexus_peak_4852
Merged-chr2L-9918431-5	chr2L	9917739	9918743	+	0.000000	wtElba3__elba3Elba3|Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed|Elba1_ChIPnexus_narrowPeak_q10.bed	5		diff__wtElba3_q20__elba3Elba3_q20_peak_635			Insv_ChIPnexus_peak_1284a,Insv_ChIPnexus_peak_1284d	Elba3_ChIPnexus_peak_1243		Elba1_ChIPnexus_peak_761
Merged-chr3R-18273286-4	chr3R	18272840	18273454	+	0.000000	wtElba3__elba3Elba3|Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed|Elba1_ChIPnexus_narrowPeak_q10.bed	4		diff__wtElba3_q20__elba3Elba3_q20_peak_5459			Insv_ChIPnexus_peak_10999	Elba3_ChIPnexus_peak_10859		Elba1_ChIPnexus_peak_7018
Merged-chr2R-17200472-6	chr2R	17199589	17201023	+	0.000000	wtElba3__elba3Elba3|Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed|Elba1_ChIPnexus_narrowPeak_q10.bed	6		diff__wtElba3_q20__elba3Elba3_q20_peak_2504a,diff__wtElba3_q20__elba3Elba3_q20_peak_2504b,diff__wtElba3_q20__elba3Elba3_q20_peak_2504c			Insv_ChIPnexus_peak_4938	Elba3_ChIPnexus_peak_4926b		Elba1_ChIPnexus_peak_3205
Merged-chr3R-2284778-6	chr3R	2284624	2284995	+	0.000000	wtElba3__elba3Elba3|Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed|Elba2_ChIPnexus_narrowPeak_q5.bed	6		diff__wtElba3_q20__elba3Elba3_q20_peak_4443			Insv_ChIPnexus_peak_8948a,Insv_ChIPnexus_peak_8948b	Elba3_ChIPnexus_peak_8855a,Elba3_ChIPnexus_peak_8855b	Elba2_ChIPnexus_peak_2097	
Merged-chr2R-10245012-6	chr2R	10244533	10245410	+	0.000000	wtElba3__elba3Elba3|Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed|Elba2_ChIPnexus_narrowPeak_q5.bed	6		diff__wtElba3_q20__elba3Elba3_q20_peak_2022			Insv_ChIPnexus_peak_4050a,Insv_ChIPnexus_peak_4050b,Insv_ChIPnexus_peak_4050c	Elba3_ChIPnexus_peak_4025	Elba2_ChIPnexus_peak_941	
Merged-chr3L-16735769-4	chr3L	16735612	16735919	+	0.000000	wtElba3__elba3Elba3|Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed|Elba2_ChIPnexus_narrowPeak_q5.bed	4		diff__wtElba3_q20__elba3Elba3_q20_peak_3851			Insv_ChIPnexus_peak_7659	Elba3_ChIPnexus_peak_7557	Elba2_ChIPnexus_peak_1787	
Merged-chr2L-20148524-5	chr2L	20148335	20148694	+	0.000000	wtElba3__elba3Elba3|Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed|Elba2_ChIPnexus_narrowPeak_q5.bed	5		diff__wtElba3_q20__elba3Elba3_q20_peak_1202			Insv_ChIPnexus_peak_2453a,Insv_ChIPnexus_peak_2453b	Elba3_ChIPnexus_peak_2410	Elba2_ChIPnexus_peak_534	
Merged-chr2L-20310750-4	chr2L	20310627	20310880	+	0.000000	wtElba3__elba3Elba3|Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed|Elba2_ChIPnexus_narrowPeak_q5.bed	4		diff__wtElba3_q20__elba3Elba3_q20_peak_1204			Insv_ChIPnexus_peak_2478	Elba3_ChIPnexus_peak_2420	Elba2_ChIPnexus_peak_538	
Merged-chrU-2125449-5	chrU	2125320	2125587	+	0.000000	wtElba3__elba3Elba3|Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed|Elba2_ChIPnexus_narrowPeak_q5.bed|Elba1_ChIPnexus_narrowPeak_q10.bed	5		diff__wtElba3_q20__elba3Elba3_q20_peak_6101			Insv_ChIPnexus_peak_12299	Elba3_ChIPnexus_peak_12204	Elba2_ChIPnexus_peak_2888	Elba1_ChIPnexus_peak_7931
Merged-chr3L-16654811-5	chr3L	16654497	16655115	+	0.000000	wtElba3__elba3Elba3|Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed|Elba2_ChIPnexus_narrowPeak_q5.bed|Elba1_ChIPnexus_narrowPeak_q10.bed	5		diff__wtElba3_q20__elba3Elba3_q20_peak_3842			Insv_ChIPnexus_peak_7643b	Elba3_ChIPnexus_peak_7544c	Elba2_ChIPnexus_peak_1781	Elba1_ChIPnexus_peak_4857
Merged-chr3L-14943263-7	chr3L	14942912	14943837	+	0.000000	wtInsv__insvInsv|wtElba2__elba2Elba2|wtElba1__elba1Elba1|Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed|Elba1_ChIPnexus_narrowPeak_q10.bed	7	diff__wtInsv_q20__insvInsv_q20_peak_2714a,diff__wtInsv_q20__insvInsv_q20_peak_2714b		diff__wtElba2_q20__elba2Elba2_q20_peak_888	diff__wtElba1_q20__elba1Elba1_q20_peak_1915	Insv_ChIPnexus_peak_7363a	Elba3_ChIPnexus_peak_7260		Elba1_ChIPnexus_peak_4689
Merged-chr3L-22721087-5	chr3L	22720621	22721463	+	0.000000	wtInsv__insvInsv|wtElba3__elba3Elba3|Insv_ChIPnexus_narrowPeak_q10.bed	5	diff__wtInsv_q20__insvInsv_q20_peak_3142a,diff__wtInsv_q20__insvInsv_q20_peak_3142b	diff__wtElba3_q20__elba3Elba3_q20_peak_4229a,diff__wtElba3_q20__elba3Elba3_q20_peak_4229b			Insv_ChIPnexus_peak_8455			
Merged-chr3L-3789317-3	chr3L	3789185	3789414	+	0.000000	wtInsv__insvInsv|wtElba3__elba3Elba3|Insv_ChIPnexus_narrowPeak_q10.bed	3	diff__wtInsv_q20__insvInsv_q20_peak_2208	diff__wtElba3_q20__elba3Elba3_q20_peak_3029			Insv_ChIPnexus_peak_6050			
Merged-chr2L-9612719-3	chr2L	9612485	9612882	+	0.000000	wtInsv__insvInsv|wtElba3__elba3Elba3|Insv_ChIPnexus_narrowPeak_q10.bed	3	diff__wtInsv_q20__insvInsv_q20_peak_414	diff__wtElba3_q20__elba3Elba3_q20_peak_616			Insv_ChIPnexus_peak_1250			
Merged-chr2L-9613632-5	chr2L	9613248	9614054	+	0.000000	wtInsv__insvInsv|wtElba3__elba3Elba3|Insv_ChIPnexus_narrowPeak_q10.bed	5	diff__wtInsv_q20__insvInsv_q20_peak_415	diff__wtElba3_q20__elba3Elba3_q20_peak_617			Insv_ChIPnexus_peak_1251b,Insv_ChIPnexus_peak_1251c,Insv_ChIPnexus_peak_1251d			
Merged-chr2L-10220705-4	chr2L	10220093	10221100	+	0.000000	wtInsv__insvInsv|wtElba3__elba3Elba3|Insv_ChIPnexus_narrowPeak_q10.bed	4	diff__wtInsv_q20__insvInsv_q20_peak_442	diff__wtElba3_q20__elba3Elba3_q20_peak_661a,diff__wtElba3_q20__elba3Elba3_q20_peak_661b			Insv_ChIPnexus_peak_1325			
Merged-chr3L-4623334-3	chr3L	4623124	4623656	+	0.000000	wtInsv__insvInsv|wtElba3__elba3Elba3|Insv_ChIPnexus_narrowPeak_q10.bed	3	diff__wtInsv_q20__insvInsv_q20_peak_2245	diff__wtElba3_q20__elba3Elba3_q20_peak_3101			Insv_ChIPnexus_peak_6159a			
Merged-chr2L-9120975-7	chr2L	9120237	9121442	+	0.000000	wtInsv__insvInsv|wtElba3__elba3Elba3|Insv_ChIPnexus_narrowPeak_q10.bed	7	diff__wtInsv_q20__insvInsv_q20_peak_384a,diff__wtInsv_q20__insvInsv_q20_peak_384b	diff__wtElba3_q20__elba3Elba3_q20_peak_583a,diff__wtElba3_q20__elba3Elba3_q20_peak_583b			Insv_ChIPnexus_peak_1164,Insv_ChIPnexus_peak_1165b,Insv_ChIPnexus_peak_1165c			
Merged-chr2L-10339625-6	chr2L	10339332	10339962	+	0.000000	wtInsv__insvInsv|wtElba3__elba3Elba3|Insv_ChIPnexus_narrowPeak_q10.bed	6	diff__wtInsv_q20__insvInsv_q20_peak_464	diff__wtElba3_q20__elba3Elba3_q20_peak_703			Insv_ChIPnexus_peak_1368a,Insv_ChIPnexus_peak_1368b,Insv_ChIPnexus_peak_1368c,Insv_ChIPnexus_peak_1368d			
Merged-chr2L-10858067-3	chr2L	10857851	10858269	+	0.000000	wtInsv__insvInsv|wtElba3__elba3Elba3|Insv_ChIPnexus_narrowPeak_q10.bed	3	diff__wtInsv_q20__insvInsv_q20_peak_487	diff__wtElba3_q20__elba3Elba3_q20_peak_749			Insv_ChIPnexus_peak_1446			
Merged-chr2R-17578852-7	chr2R	17577797	17579705	+	0.000000	wtInsv__insvInsv|wtElba3__elba3Elba3|Insv_ChIPnexus_narrowPeak_q10.bed	7	diff__wtInsv_q20__insvInsv_q20_peak_1800b,diff__wtInsv_q20__insvInsv_q20_peak_1800c	diff__wtElba3_q20__elba3Elba3_q20_peak_2532,diff__wtElba3_q20__elba3Elba3_q20_peak_2533			Insv_ChIPnexus_peak_4992a,Insv_ChIPnexus_peak_4992b,Insv_ChIPnexus_peak_4992c			
Merged-chr3R-13764277-3	chr3R	13763721	13764841	+	0.000000	wtInsv__insvInsv|wtElba3__elba3Elba3|Insv_ChIPnexus_narrowPeak_q10.bed	3	diff__wtInsv_q20__insvInsv_q20_peak_3909	diff__wtElba3_q20__elba3Elba3_q20_peak_5180			Insv_ChIPnexus_peak_10434a			
Merged-chr3R-14506473-5	chr3R	14506067	14507157	+	0.000000	wtInsv__insvInsv|wtElba3__elba3Elba3|Insv_ChIPnexus_narrowPeak_q10.bed	5	diff__wtInsv_q20__insvInsv_q20_peak_3967a,diff__wtInsv_q20__insvInsv_q20_peak_3967b	diff__wtElba3_q20__elba3Elba3_q20_peak_5230			Insv_ChIPnexus_peak_10552a,Insv_ChIPnexus_peak_10552b			
Merged-chrX-11516039-7	chrX	11515283	11517168	+	0.000000	wtInsv__insvInsv|wtElba3__elba3Elba3|Insv_ChIPnexus_narrowPeak_q10.bed	7	diff__wtInsv_q20__insvInsv_q20_peak_5158a,diff__wtInsv_q20__insvInsv_q20_peak_5158b,diff__wtInsv_q20__insvInsv_q20_peak_5158c	diff__wtElba3_q20__elba3Elba3_q20_peak_6754a,diff__wtElba3_q20__elba3Elba3_q20_peak_6754b			Insv_ChIPnexus_peak_13714a,Insv_ChIPnexus_peak_13714c			
Merged-chr3L-6646355-5	chr3L	6645959	6646833	+	0.000000	wtInsv__insvInsv|wtElba3__elba3Elba3|Insv_ChIPnexus_narrowPeak_q10.bed	5	diff__wtInsv_q20__insvInsv_q20_peak_2322	diff__wtElba3_q20__elba3Elba3_q20_peak_3189			Insv_ChIPnexus_peak_6343b,Insv_ChIPnexus_peak_6343c,Insv_ChIPnexus_peak_6343d			
Merged-chr3L-6839140-4	chr3L	6838672	6839482	+	0.000000	wtInsv__insvInsv|wtElba3__elba3Elba3|Insv_ChIPnexus_narrowPeak_q10.bed	4	diff__wtInsv_q20__insvInsv_q20_peak_2336	diff__wtElba3_q20__elba3Elba3_q20_peak_3199			Insv_ChIPnexus_peak_6361a,Insv_ChIPnexus_peak_6361b			
Merged-chr2R-12274199-9	chr2R	12273681	12274955	+	0.000000	wtInsv__insvInsv|wtElba3__elba3Elba3|Insv_ChIPnexus_narrowPeak_q10.bed	9	diff__wtInsv_q20__insvInsv_q20_peak_1568a,diff__wtInsv_q20__insvInsv_q20_peak_1568b,diff__wtInsv_q20__insvInsv_q20_peak_1568c	diff__wtElba3_q20__elba3Elba3_q20_peak_2175a,diff__wtElba3_q20__elba3Elba3_q20_peak_2175b			Insv_ChIPnexus_peak_4324a,Insv_ChIPnexus_peak_4324b,Insv_ChIPnexus_peak_4324c,Insv_ChIPnexus_peak_4324d			
Merged-chr2L-12678399-3	chr2L	12677952	12678957	+	0.000000	wtInsv__insvInsv|wtElba3__elba3Elba3|Insv_ChIPnexus_narrowPeak_q10.bed	3	diff__wtInsv_q20__insvInsv_q20_peak_567	diff__wtElba3_q20__elba3Elba3_q20_peak_847			Insv_ChIPnexus_peak_1655			
Merged-chr2L-13214411-3	chr2L	13214067	13214785	+	0.000000	wtInsv__insvInsv|wtElba3__elba3Elba3|Insv_ChIPnexus_narrowPeak_q10.bed	3	diff__wtInsv_q20__insvInsv_q20_peak_576	diff__wtElba3_q20__elba3Elba3_q20_peak_877b			Insv_ChIPnexus_peak_1692b			
Merged-chrX-15733987-5	chrX	15732303	15735403	+	0.000000	wtInsv__insvInsv|wtElba3__elba3Elba3|Insv_ChIPnexus_narrowPeak_q10.bed	5	diff__wtInsv_q20__insvInsv_q20_peak_5401a,diff__wtInsv_q20__insvInsv_q20_peak_5401b,diff__wtInsv_q20__insvInsv_q20_peak_5401c	diff__wtElba3_q20__elba3Elba3_q20_peak_6983			Insv_ChIPnexus_peak_14166			
